Năm,Danh Mục,Bán Ra (Tổng),Nhập Kho (Tổng),Tồn Kho (Tổng)
2012,Casual,813,935,3330
2012,GenZ,1757,2050,8935
2012,Outdoor,25125,29680,63857
2012,Streetwear,20729,24302,93495
2013,Casual,2032,2338,9084
2013,GenZ,4481,5228,23758
2013,Outdoor,53268,62842,224986
2013,Streetwear,54398,63797,269075
2014,Casual,2241,2579,13044
2014,GenZ,4656,5446,33782
2014,Outdoor,52219,61547,342245
2014,Streetwear,58311,68714,370357
2015,Casual,2864,3316,17480
2015,GenZ,5517,6389,43042
2015,Outdoor,48977,57667,412047
2015,Streetwear,62747,73797,467868
2016,Casual,3414,3972,23363
2016,GenZ,5291,6135,51113
2016,Outdoor,42569,49925,471063
2016,Streetwear,66692,78657,552380
2017,Casual,3688,4312,29266
2017,GenZ,5151,6016,54337
2017,Outdoor,36528,42823,519130
2017,Streetwear,63503,74757,622784
2018,Casual,4914,5677,38519
2018,GenZ,7553,8825,69346
2018,Outdoor,25304,29596,548257
2018,Streetwear,59750,70103,674853
2019,Casual,2872,3230,42874
2019,GenZ,3382,3852,72414
2019,Outdoor,17447,20208,545725
2019,Streetwear,34784,40490,685785
2020,Casual,2415,2701,43330
2020,GenZ,3161,3563,75021
2020,Outdoor,13297,15285,554297
2020,Streetwear,29558,34179,713540
2021,Casual,2810,3152,43753
2021,GenZ,3662,4169,77281
2021,Outdoor,11494,13133,528203
2021,Streetwear,30141,34959,691849
2022,Casual,3139,3576,46479
2022,GenZ,4084,4638,75728
2022,Outdoor,11282,12862,540081
2022,Streetwear,30854,35844,617508
