year,category,Bán Ra,Nhập Kho,Tồn Kho
2012,Casual,813,935,3.330
2012,GenZ,1.757,2.050,8.935
2012,Outdoor,25.125,29.680,63.857
2012,Streetwear,20.729,24.302,93.495
2013,Casual,2.032,2.338,9.084
2013,GenZ,4.481,5.228,23.758
2013,Outdoor,53.268,62.842,224.986
2013,Streetwear,54.398,63.797,269.075
2014,Casual,2.241,2.579,13.044
2014,GenZ,4.656,5.446,33.782
2014,Outdoor,52.219,61.547,342.245
2014,Streetwear,58.311,68.714,370.357
2015,Casual,2.864,3.316,17.480
2015,GenZ,5.517,6.389,43.042
2015,Outdoor,48.977,57.667,412.047
2015,Streetwear,62.747,73.797,467.868
2016,Casual,3.414,3.972,23.363
2016,GenZ,5.291,6.135,51.113
2016,Outdoor,42.569,49.925,471.063
2016,Streetwear,66.692,78.657,552.380
