order_id,order_date,customer_id,zip,order_status,payment_method,device_type,order_source
41619,2013-01-03,57562,6897,cancelled,credit_card,tablet,paid_search
41639,2013-01-03,8066,18411,delivered,credit_card,mobile,organic_search
41640,2013-01-03,8146,18436,delivered,credit_card,desktop,paid_search
41649,2013-01-03,60219,28056,delivered,credit_card,desktop,paid_search
41657,2013-01-03,62763,29407,returned,credit_card,desktop,paid_search
41661,2013-01-03,54599,30253,delivered,paypal,desktop,social_media
41663,2013-01-03,22412,32792,cancelled,credit_card,mobile,email_campaign
41683,2013-01-03,46069,40505,delivered,cod,desktop,email_campaign
41684,2013-01-03,69428,41539,delivered,credit_card,tablet,paid_search
41701,2013-01-03,118591,60504,delivered,credit_card,desktop,paid_search
41702,2013-01-03,120277,61560,delivered,apple_pay,desktop,paid_search
41711,2013-01-03,101891,71129,delivered,credit_card,mobile,referral
41714,2013-01-03,122869,75709,delivered,paypal,mobile,organic_search
41719,2013-01-03,129745,78121,delivered,cod,mobile,social_media
41720,2013-01-03,107133,80033,delivered,credit_card,tablet,email_campaign
41724,2013-01-03,154070,84081,delivered,credit_card,mobile,organic_search
41734,2013-01-03,145203,87111,delivered,credit_card,mobile,organic_search
41742,2013-01-03,139986,90501,delivered,paypal,mobile,direct
41743,2013-01-03,139984,90501,delivered,credit_card,mobile,social_media
41746,2013-01-03,140921,91706,delivered,credit_card,tablet,paid_search
41750,2013-01-03,138006,92003,delivered,credit_card,desktop,paid_search
41751,2013-01-03,138088,92026,delivered,paypal,desktop,organic_search
41757,2013-01-03,139159,92860,delivered,paypal,mobile,organic_search
41760,2013-01-03,139346,93306,delivered,credit_card,tablet,referral
41769,2013-01-03,133757,94565,delivered,credit_card,mobile,direct
41778,2013-01-03,137265,96130,delivered,paypal,mobile,organic_search
41780,2013-01-03,147405,97301,delivered,credit_card,mobile,social_media
41782,2013-01-03,150330,98662,delivered,credit_card,desktop,organic_search
41787,2013-01-03,41557,7065,delivered,apple_pay,mobile,email_campaign
41791,2013-01-03,4319,19405,cancelled,credit_card,tablet,organic_search
41796,2013-01-03,39202,26150,delivered,paypal,desktop,social_media
41797,2013-01-03,50678,27576,delivered,paypal,mobile,paid_search
41800,2013-01-03,52188,28572,delivered,credit_card,mobile,paid_search
41803,2013-01-03,62124,29053,delivered,credit_card,mobile,paid_search
41814,2013-01-03,19512,33912,shipped,credit_card,desktop,organic_search
41816,2013-01-03,19763,34102,returned,credit_card,desktop,direct
41817,2013-01-03,19827,34117,delivered,paypal,desktop,paid_search
41829,2013-01-03,29215,44833,delivered,credit_card,desktop,paid_search
41834,2013-01-03,90647,57702,delivered,credit_card,desktop,organic_search
41835,2013-01-03,91077,58103,delivered,cod,mobile,organic_search
41841,2013-01-03,100057,70072,cancelled,apple_pay,tablet,social_media
41849,2013-01-03,122595,75602,cancelled,cod,desktop,social_media
41870,2013-01-03,87379,82718,delivered,paypal,desktop,paid_search
41875,2013-01-03,143622,85344,cancelled,credit_card,desktop,organic_search
41878,2013-01-03,140121,90670,delivered,credit_card,mobile,organic_search
41884,2013-01-03,139148,92595,delivered,credit_card,desktop,paid_search
41900,2013-01-03,136847,96003,delivered,credit_card,mobile,social_media
41919,2013-01-03,118414,60452,delivered,credit_card,desktop,organic_search
41920,2013-01-03,119178,60630,delivered,credit_card,desktop,social_media
41925,2013-01-03,132148,77083,shipped,cod,desktop,referral
41932,2013-01-03,113354,88240,delivered,credit_card,tablet,paid_search
41935,2013-01-03,142477,90048,cancelled,credit_card,mobile,organic_search
41941,2013-01-03,133578,94521,delivered,paypal,desktop,social_media
41942,2013-01-03,133579,94521,returned,credit_card,mobile,organic_search
41950,2013-01-03,136503,95765,delivered,credit_card,desktop,social_media
41951,2013-01-03,137091,96080,delivered,cod,mobile,organic_search
41953,2013-01-03,148927,98155,delivered,bank_transfer,desktop,organic_search
41961,2013-01-03,44800,21787,delivered,credit_card,desktop,organic_search
41969,2013-01-03,114619,53581,cancelled,cod,desktop,organic_search
42000,2013-01-03,10594,10304,delivered,credit_card,mobile,social_media
42004,2013-01-03,12411,11951,delivered,credit_card,desktop,referral
42008,2013-01-03,6933,17563,returned,credit_card,desktop,organic_search
42009,2013-01-03,4631,19128,delivered,credit_card,mobile,social_media
42015,2013-01-03,67328,23323,delivered,credit_card,desktop,paid_search
42016,2013-01-03,67546,23456,returned,cod,desktop,paid_search
42023,2013-01-03,63384,29621,delivered,bank_transfer,desktop,social_media
42034,2013-01-03,18047,33334,delivered,cod,desktop,email_campaign
42047,2013-01-03,46062,40503,delivered,credit_card,desktop,organic_search
42052,2013-01-03,27705,44035,delivered,paypal,desktop,referral
42064,2013-01-03,30729,48433,delivered,apple_pay,desktop,direct
42067,2013-01-03,114216,53181,delivered,credit_card,desktop,email_campaign
42068,2013-01-03,115806,53220,delivered,cod,mobile,paid_search
42079,2013-01-03,117816,60107,delivered,credit_card,desktop,referral
42080,2013-01-03,117816,60107,delivered,credit_card,mobile,social_media
42085,2013-01-03,81431,68154,delivered,credit_card,mobile,paid_search
42093,2013-01-03,124352,75028,delivered,credit_card,mobile,organic_search
42117,2013-01-03,140681,91360,delivered,credit_card,mobile,email_campaign
42118,2013-01-03,138015,92007,delivered,credit_card,mobile,social_media
42132,2013-01-03,141430,92679,delivered,credit_card,mobile,email_campaign
42133,2013-01-03,141453,92691,delivered,credit_card,mobile,social_media
42139,2013-01-03,139379,93314,delivered,credit_card,tablet,social_media
